,X,Y,SPECIES.NAME,training,sp1,sp2,sp3,sp4,sp5,prediction
36833,5014500,4435500,b'Betula pubescens',True,-1.797739028930664,0.5874412059783936,1.2705774307250977,0.4101770520210266,-1.908042311668396,b'Betula pubescens'
235487,4558000,4948000,b'Betula pubescens',True,-2.997305393218994,0.569539487361908,1.9728233814239502,0.9298785328865051,-2.5937445163726807,b'Betula pubescens'
83188,5088500,5248500,b'Betula pubescens',True,-3.0242950916290283,0.5991442799568176,2.0168962478637695,0.9154273271560669,-2.6637399196624756,b'Betula pubescens'
136044,4433500,4622500,b'Betula pubescens',True,-4.496267318725586,1.5834883451461792,3.5450758934020996,1.2381141185760498,-5.64202356338501,b'Betula pubescens'
220332,5004500,4228500,b'Betula pubescens',True,-5.622551441192627,2.884718656539917,6.829986095428467,0.31094908714294434,-11.246204376220703,b'Betula pubescens'
129415,5128500,4635500,b'Betula pubescens',False,-2.897695541381836,0.5705308318138123,1.922860860824585,0.8687945604324341,-2.541753053665161,b'Betula pubescens'
4680,4153500,4369500,b'Betula pubescens',True,-3.9209723472595215,0.18364852666854858,2.9884438514709473,2.0423567295074463,-4.053936958312988,b'Betula pubescens'
74491,5213500,4505500,b'Betula pubescens',True,-5.015045642852783,0.3997054696083069,3.269977569580078,3.1560070514678955,-5.9390435218811035,b'Betula pubescens'
5311,4064500,4039500,b'Betula pubescens',True,-0.6210877299308777,0.24670231342315674,-0.7709843516349792,0.9552204608917236,-0.4531218707561493,b'Pinus sylvestris'
141045,4265500,4238500,b'Betula pubescens',True,-2.931421995162964,0.5661985874176025,1.965010643005371,0.9031345844268799,-2.5821826457977295,b'Betula pubescens'
35272,4981500,4384500,b'Betula pubescens',True,-1.6792882680892944,0.42558926343917847,0.9120285511016846,0.4788442850112915,-1.3495978116989136,b'Betula pubescens'
23472,5262500,4630500,b'Betula pubescens',True,-2.446220636367798,0.7966061234474182,1.7131267786026,0.6103840470314026,-2.6077487468719482,b'Betula pubescens'
39400,5231500,4798500,b'Betula pubescens',True,-2.6836414337158203,0.6235292553901672,1.7512502670288086,0.7577782273292542,-2.398749828338623,b'Betula pubescens'
148035,4988500,4462500,b'Betula pubescens',False,-0.8279344439506531,-0.22113078832626343,1.4080615043640137,-0.16537506878376007,-1.068480134010315,b'Betula pubescens'
176204,4184500,4230500,b'Betula pubescens',True,-3.171823263168335,0.582522988319397,2.1316311359405518,0.9900710582733154,-2.7855920791625977,b'Betula pubescens'
44409,4190500,4404500,b'Betula pubescens',True,-1.9686832427978516,0.4168899655342102,1.4827897548675537,0.6748114228248596,-2.329892873764038,b'Betula pubescens'
160064,5276500,4326500,b'Betula pubescens',True,-3.245755195617676,0.7646203637123108,5.555830001831055,-0.41051262617111206,-6.742593288421631,b'Betula pubescens'
72343,5094500,4444500,b'Betula pubescens',False,-2.536336660385132,0.89753657579422,1.4757881164550781,1.5253710746765137,-3.709177255630493,b'Pinus sylvestris'
